Item Type,Order ID,Units Sold,Total Cost,Total Profit
Fruits,278519999,9112,63055.04,21959.92
Vegetables,478492200,5330,484656.90,336482.90
Cosmetics,257427108,7257,1910985.81,1261774.59
Snacks,723186051,5678,553264.32,313084.92
Personal Care,353942859,8412,476708.04,210804.72
Office Supplies,848183858,5307,2785962.72,670008.75
Meat,374707877,3243,1182689.67,185499.60
Personal Care,322626245,1130,64037.10,28317.80
Household,351362788,4912,2468476.48,814065.76
Meat,640653836,2562,934335.78,146546.40
Clothes,540548217,9084,325570.56,667128.96
Baby Food,821407258,1516,241680.72,145323.76
Beverages,523904788,3924,124743.96,61449.84
Clothes,109027135,2407,86266.88,176770.08
Cosmetics,108073127,95,25016.35,16517.65
Fruits,672654092,2148,14864.16,5176.68
Vegetables,224693858,761,69197.73,48041.93
Personal Care,406428754,155,8783.85,3884.30
Baby Food,230407607,1586,252840.12,152033.96
Personal Care,129491746,8340,472627.80,209000.40
Vegetables,606854999,735,66833.55,46400.55
Baby Food,885983693,1118,178231.56,107171.48
Office Supplies,260676658,8871,4656920.16,1119963.75
Cosmetics,345045220,5403,1422771.99,939419.61
Baby Food,123513209,9158,1459968.36,877885.88
Vegetables,900816953,609,55376.37,38446.17
Household,452005279,7261,3648942.94,1203365.53
Vegetables,672439515,8650,786544.50,546074.50
Household,827793490,1344,675413.76,222741.12
Clothes,704053533,3941,141245.44,289427.04
Baby Food,157518470,2070,329999.40,198430.20
Cosmetics,464799630,3394,893742.02,590114.78
Office Supplies,272820842,2605,1367520.80,328881.25
Personal Care,548818433,6425,364104.75,161010.50
Meat,530341231,8611,3140345.59,492549.20
Beverages,875250566,4947,157265.13,77470.02
Personal Care,511720263,8252,467640.84,206795.12
Beverages,688236653,3375,107291.25,52852.50
Personal Care,923598563,2194,124333.98,54981.64
Snacks,356917321,8622,840127.68,475417.08
Vegetables,897616755,3600,327348.00,227268.00
Baby Food,475433194,102,16260.84,9777.72
Vegetables,690415465,8134,739624.62,513499.42
Cosmetics,962924897,9730,2562200.90,1691755.10
Snacks,783635318,3960,385862.40,218354.40
Cereal,163533055,1920,224851.20,170092.80
Beverages,983916938,1742,55378.18,27279.72
Cereal,246398293,3585,419839.35,317595.15
Office Supplies,422900950,4644,2437914.24,586305.00
Office Supplies,905661237,4141,2173859.36,522801.25
Clothes,257227981,8330,298547.20,611755.20
Snacks,260462510,5500,535920.00,303270.00
Fruits,968538653,965,6677.80,2325.65
Cereal,254942739,2077,243237.47,184001.43
Beverages,563473594,3213,102141.27,50315.58
Personal Care,358242547,785,44485.95,19672.10
Meat,873673427,8237,3003951.53,471156.40
Meat,264502561,1040,379277.60,59488.00
Personal Care,355778777,1701,96395.67,42627.06
Household,792863404,4755,2389577.70,788046.15
Meat,391430270,1770,645501.30,101244.00
Clothes,287465703,6344,227368.96,465903.36
Cosmetics,787268531,9108,2398409.64,1583607.96
Cosmetics,917450082,2722,716784.26,473274.14
Vegetables,674934184,6878,625416.54,434208.14
Cereal,576957166,3301,386580.11,292435.59
Household,311067855,746,374894.84,123634.58
Vegetables,985127580,9997,909027.21,631110.61
Vegetables,177310168,8874,806912.82,560215.62
Household,486101949,7224,3630348.96,1197233.52
Office Supplies,980301749,1927,1011597.92,243283.75
Office Supplies,349020898,1895,994799.20,239243.75
Household,951683223,3069,1542295.26,508625.37
Snacks,268025052,3424,333634.56,188799.36
Household,348095214,7964,4002228.56,1319873.72
Household,162255036,3726,1872464.04,617509.98
Personal Care,551178348,4776,270655.92,119686.56
Household,175851476,7214,3625323.56,1195576.22
Meat,467573249,4170,1520757.30,238524.00
Fruits,677954995,804,5563.68,1937.64
Fruits,128920543,9308,64411.36,22432.28
Meat,462706220,3908,1425208.52,223537.60
Vegetables,691860854,5856,532486.08,369689.28
Office Supplies,349245774,8440,4430662.40,1065550.00
Beverages,838034808,1978,62880.62,30975.48
Personal Care,481714284,8816,499602.72,220928.96
Cosmetics,374083030,8336,2195118.88,1449380.32
Vegetables,329252374,1949,177222.57,123040.37
Snacks,231646144,8097,788971.68,446468.58
Baby Food,486000669,7253,1156273.26,695272.58
Vegetables,667364776,6922,629417.46,436985.86
Vegetables,871099793,6641,603866.13,419246.33
Cosmetics,362879550,2978,784196.74,517784.86
Baby Food,728690373,4529,722013.18,434149.94
Cereal,924831092,6927,811220.97,613662.93
Office Supplies,427913033,7831,4110961.76,988663.75
Cereal,584860026,1934,226490.74,171333.06
Snacks,562908399,5959,580644.96,328579.26
Personal Care,499606978,3662,207525.54,91769.72
Cereal,152817094,829,97084.19,73441.11
Beverages,250712573,277,8805.83,4337.82
Clothes,241779744,6854,245647.36,503357.76
Cereal,544817435,2441,285865.51,216248.19
Vegetables,298936975,949,86292.57,59910.37
Beverages,513562190,3319,105511.01,51975.54
Beverages,918429410,2527,80333.33,39572.82
Snacks,413587462,8576,835645.44,472880.64
Meat,219397675,3503,1277509.07,200371.60
Cosmetics,726533877,6374,1678465.42,1108247.38
Personal Care,145982396,8290,469794.30,207747.40
Beverages,359042060,7379,234578.41,115555.14
Clothes,167324197,3803,136299.52,279292.32
Beverages,242752635,4754,151129.66,74447.64
Baby Food,877563703,9456,1507475.52,906452.16
Household,634306228,4163,2092074.02,689933.99
Fruits,395841538,7163,49567.96,17262.83
Office Supplies,215343463,3771,1979624.16,476088.75
Fruits,666298329,1337,9252.04,3222.17
Fruits,592504966,4241,29347.72,10220.81
Office Supplies,258074700,8894,4668994.24,1122867.50
Beverages,897431361,8738,277781.02,136837.08
Clothes,665311276,9246,331376.64,679026.24
Beverages,486763274,2925,92985.75,45805.50
Fruits,907148683,4309,29818.28,10384.69
Personal Care,742141330,4966,281423.22,124447.96
Personal Care,227727544,8496,481468.32,212909.76
Beverages,570206153,5527,175703.33,86552.82
Cereal,796188485,8721,1021316.31,772593.39
Household,902598369,7770,3904735.80,1287722.10
Beverages,506672132,4398,139812.42,68872.68
Vegetables,195958602,7360,669244.80,464636.80
Cereal,178319108,7442,871532.62,659286.78
Vegetables,731927478,2461,223778.73,155362.93
Cosmetics,855270040,2266,596705.78,393989.42
Personal Care,517145621,3736,211719.12,93624.16
Meat,206665551,5784,2109366.96,330844.80
Beverages,483253657,4351,138318.29,68136.66
Vegetables,626646268,7411,673882.23,467856.43
Clothes,886892211,9969,357288.96,732123.36
Personal Care,234352815,9061,513486.87,227068.66
Meat,409701907,8754,3192496.26,500728.80
Snacks,973925817,5147,501523.68,283805.58
Cereal,658323371,1370,160440.70,121368.30
Meat,514505898,2584,942358.96,147804.80
Vegetables,764397227,981,89202.33,61930.53
Clothes,350233685,785,28134.40,57650.40
Snacks,984564101,3252,316874.88,179315.28
Office Supplies,400249803,1666,874583.36,210332.50
Clothes,900464618,6346,227440.64,466050.24
Vegetables,808694875,9639,876474.27,608510.07
Cereal,318739402,927,108560.97,82122.93
Household,144709527,1620,814114.80,268482.60
Snacks,171029078,160,15590.40,8822.40
Snacks,802434384,7021,684126.24,387137.94
Fruits,713974273,9708,67179.36,23396.28
Meat,901010072,7758,2829265.02,443757.60
Snacks,629215610,7736,753795.84,426563.04
Office Supplies,584577214,8243,4327245.28,1040678.75
Meat,623393714,4908,1789898.52,280737.60
Baby Food,222276437,5392,859592.64,516877.12
Baby Food,728149211,4387,699375.54,420537.82
Vegetables,408248364,8618,783634.74,544054.34
Beverages,300122725,1839,58461.81,28798.74
Office Supplies,161633622,9836,5163506.56,1241795.00
Meat,720954883,5426,1978807.94,310367.20
Snacks,526572835,3458,336947.52,190674.12
Snacks,897286307,5813,566418.72,320528.82
Baby Food,972206628,6401,1020447.42,613599.86
Household,860757625,6164,3097656.56,1021559.72
Cereal,292675626,8076,945780.36,715452.84
Meat,868009459,2143,781530.67,122579.60
Beverages,207120454,400,12716.00,6264.00
Personal Care,500682437,1914,108466.38,47964.84
Vegetables,859681737,7785,707890.05,491467.05
Cereal,465417182,6142,719289.62,544119.78
Meat,819500100,7146,2606074.74,408751.20
Personal Care,793854320,7989,452736.63,200204.34
Clothes,680716168,7896,282992.64,579882.24
Clothes,842634475,3121,111856.64,229206.24
Beverages,362470567,1950,61990.50,30537.00
Snacks,193398272,9701,945265.44,534913.14
Household,908903920,3723,1870956.42,617012.79
Clothes,452786338,8394,300840.96,616455.36
Vegetables,889156854,127,11548.11,8017.51
Meat,752439296,2363,861762.47,135163.60
Cosmetics,897369992,577,151941.41,100322.99
Office Supplies,448997771,7273,3818034.08,918216.25
Baby Food,852683961,6987,1113867.54,669773.82
Snacks,924102389,1287,125405.28,70965.18
Meat,899239385,3772,1375610.68,215758.40
Snacks,184393775,5071,494118.24,279614.94
Cosmetics,506176888,7845,2065823.85,1364010.15
Cosmetics,961512553,1786,470307.38,310531.82
Baby Food,267637097,8619,1374040.98,826217.34
Fruits,812099349,7099,49125.08,17108.59
Baby Food,102760636,8011,1277113.62,767934.46
Meat,217794787,9172,3344936.68,524638.40
Clothes,155688130,432,15482.88,31726.08
Beverages,785239493,8671,275651.09,135787.86
Clothes,795560204,2798,100280.32,205485.12
Fruits,746074092,8758,60605.36,21106.78
Cereal,816517484,4523,529688.53,400692.57
Baby Food,356939208,5098,812723.16,488694.28
Household,137700593,7520,3779100.80,1246289.60
Personal Care,999475467,5856,331859.52,146751.36
Cereal,703250157,6204,726550.44,549612.36
Snacks,680323493,1695,165160.80,93462.30
Snacks,182306802,7489,729728.16,412943.46
Personal Care,331123912,5779,327495.93,144821.74
Cereal,969011151,788,92282.68,69808.92
Meat,208517348,3772,1375610.68,215758.40
Household,282503831,8016,4028360.64,1328491.68
Household,794144427,3839,1929251.06,636237.47
Fruits,966925466,3587,24822.04,8644.67
Fruits,994645774,6643,45969.56,16009.63
Fruits,691416680,4415,30551.80,10640.15
Baby Food,841662013,5348,852578.16,512659.28
Snacks,950118100,9914,966020.16,546657.96
Vegetables,591833770,5619,510935.67,354727.47
Snacks,762170350,1999,194782.56,110224.86
Household,726801669,5620,2824274.80,931402.60
Baby Food,271714055,5082,810172.44,487160.52
Baby Food,153206336,6014,958751.88,576502.04
Household,747889840,6078,3054438.12,1007306.94
Cereal,702688395,9966,1167118.26,882887.94
Baby Food,984838330,4402,701766.84,421975.72
Office Supplies,831888473,3140,1648374.40,396425.00
Beverages,901700150,1967,62530.93,30803.22
Vegetables,122447192,3700,336441.00,233581.00
Cereal,642615926,3188,373346.68,282424.92
Clothes,181005179,2310,82790.40,169646.40
Snacks,576726281,4978,485056.32,274486.92
Household,139203059,2133,1071917.82,353502.09
Office Supplies,398171842,6751,3544004.96,852313.75
Vegetables,253681457,8835,803366.55,557753.55
Personal Care,926093232,422,23914.74,10575.32
Fruits,106080996,579,4006.68,1395.39
Cosmetics,504631078,405,106648.65,70417.35
Office Supplies,403042304,8029,4214903.84,1013661.25
Meat,402926003,3613,1317624.97,206663.60
Office Supplies,276206004,4349,2283051.04,549061.25
Clothes,315118634,9461,339082.24,694815.84
Baby Food,882212722,5204,829621.68,498855.44
Clothes,160349595,9863,353489.92,724338.72
Vegetables,902703082,8757,796274.01,552829.41
Cosmetics,982759511,9233,2431325.89,1605341.71
Meat,144317710,5672,2068521.68,324438.40
Meat,451489007,4485,1635634.65,256542.00
Fruits,438697230,9114,63068.88,21964.74
Clothes,960678708,5033,180382.72,369623.52
Cereal,242482268,4747,555921.17,420536.73
Baby Food,629469239,2791,444941.22,267545.26
Vegetables,937313449,734,66742.62,46337.42
Clothes,502001225,2173,77880.32,159585.12
Beverages,529831397,7739,246022.81,121192.74
Office Supplies,947415292,93,48821.28,11741.25
Clothes,851676738,8928,319979.52,655672.32
Fruits,759852063,5966,41284.72,14378.06
Vegetables,359490096,9963,905935.59,628964.19
Cereal,758452165,1705,199672.55,151045.95
Beverages,434912097,9009,286396.11,141080.94
Personal Care,187356221,1724,97699.08,43203.44
Office Supplies,884583365,6730,3532980.80,849662.50
Cosmetics,315704858,2938,773663.54,510830.06
Snacks,840144526,6290,612897.60,346830.60
Baby Food,837638700,4760,758839.20,456293.60
Meat,558236205,3353,1222805.57,191791.60
Beverages,772298371,9105,289447.95,142584.30
Snacks,520499026,6083,592727.52,335416.62
Personal Care,263824498,387,21931.29,9698.22
Clothes,533573615,5145,184396.80,377848.80
Office Supplies,581357705,5519,2897254.24,696773.75
Cereal,629100596,3701,433424.11,327871.59
Household,519038617,3916,1967946.64,648998.68
Vegetables,163720595,7417,674427.81,468235.21
Cereal,896007859,7492,877388.12,663716.28
Snacks,519074237,4457,434290.08,245758.98
Office Supplies,956406056,660,346473.60,83325.00
Personal Care,601802146,5483,310721.61,137403.98
Baby Food,169373834,336,53565.12,32208.96
Vegetables,443544948,3661,332894.73,231118.93
Baby Food,929051816,5933,945838.86,568737.38
Personal Care,300943267,4655,263798.85,116654.30
Office Supplies,454580628,9365,4916250.40,1182331.25
Clothes,655637729,6628,237547.52,486760.32
Clothes,690100896,5046,180848.64,370578.24
Clothes,414268958,246,8816.64,18066.24
Meat,204753243,9890,3606784.10,565708.00
Vegetables,508477580,8670,788363.10,547337.10
Snacks,492678296,3311,322623.84,182568.54
Cereal,294904220,7567,886171.37,670360.53
Personal Care,573016679,7224,409384.08,181033.44
Fruits,255189502,5099,35285.08,12288.59
Meat,589909017,6042,2203456.98,345602.40
Beverages,195974051,1932,61418.28,30255.12
Snacks,912495934,6680,650899.20,368335.20
Clothes,148898494,1228,44011.52,90184.32
Beverages,334918057,8551,271836.29,133908.66
Office Supplies,370603454,8652,4541953.92,1092315.00
Meat,576316010,3569,1301578.61,204146.80
Cosmetics,442729556,2369,623828.77,411898.03
Fruits,880830419,6150,42558.00,14821.50
Beverages,171917426,3042,96705.18,47637.72
Household,717601907,3206,1611143.24,531330.38
Meat,489807689,3835,1398586.15,219362.00
Snacks,680771100,4152,404570.88,228941.28
Meat,753040969,412,150252.28,23566.40
Clothes,689478623,901,32291.84,66169.44
Cereal,543257892,937,109732.07,83008.83
Beverages,887865102,7869,250155.51,123228.54
Office Supplies,567099082,6075,3189132.00,766968.75
Snacks,745071160,1968,191761.92,108515.52
Cosmetics,856205165,8990,2367336.70,1563091.30
Personal Care,855237424,2614,148135.38,65506.84
Beverages,767216765,5345,169917.55,83702.70
Cereal,237504518,1719,201312.09,152286.21
Baby Food,781774508,3305,526883.10,316817.30
Cereal,836013066,3699,433189.89,327694.41
Fruits,706519019,3533,24448.36,8514.53
Beverages,319903695,5467,173795.93,85613.22
Household,573090922,9194,4620352.76,1523721.62
Clothes,183317029,6437,230702.08,472733.28
Personal Care,638130843,5952,337299.84,149157.12
Office Supplies,345393693,8524,4474759.04,1076155.00
Office Supplies,483279407,1971,1034696.16,248838.75
Household,950274312,6141,3086098.14,1017747.93
Cosmetics,815177237,7914,2083993.62,1376007.18
Snacks,567099511,6202,604322.88,341978.28
Personal Care,765464961,6947,393686.49,174091.82
Cereal,690009915,8122,951167.42,719527.98
Cosmetics,590783202,4733,1246340.89,822926.71
Vegetables,338146150,3815,346897.95,240840.95
Fruits,772772586,9436,65297.12,22740.76
Fruits,555648839,7694,53242.48,18542.54
Snacks,218073737,1720,167596.80,94840.80
Fruits,811658608,6674,46184.08,16084.34
Clothes,758327281,4749,170204.16,348766.56
Office Supplies,800316083,169,88718.24,21336.25
Office Supplies,850173842,4188,2198532.48,528735.00
Household,440761888,92,46233.68,15247.16
Cosmetics,975254046,8200,2159306.00,1425734.00
Household,777136647,858,431179.32,142196.34
Cereal,940208518,7449,872352.39,659906.91
Beverages,378580987,9382,298253.78,146922.12
Snacks,776677882,5100,496944.00,281214.00
Office Supplies,739235532,5076,2664696.96,640845.00
Cereal,741302764,6816,798221.76,603829.44
Cosmetics,878240907,9856,2595380.48,1713662.72
Baby Food,415723788,762,121478.04,73045.32
Clothes,939737737,8134,291522.56,597360.96
Personal Care,506581580,7602,430805.34,190506.12
Personal Care,392866647,6826,386829.42,171059.56
Clothes,145516765,499,17884.16,36646.56
Beverages,731768262,5345,169917.55,83702.70
Beverages,489169967,5118,162701.22,80147.88
Meat,975583207,5605,2044087.45,320606.00
Office Supplies,219181811,9624,5052215.04,1215030.00
Cereal,368452107,2021,236679.31,179040.39
Fruits,942192924,4679,32378.68,11276.39
Cereal,179515588,1507,176484.77,133505.13
Cosmetics,889843928,3448,907961.84,599503.76
Personal Care,102914273,3475,196928.25,87083.50
Household,318775451,1595,801551.30,264339.35
Meat,957788789,9842,3589278.98,562962.40
Cosmetics,610628116,7284,1918095.72,1266469.08
Meat,188279759,5020,1830743.80,287144.00
Personal Care,672042548,1179,66813.93,29545.74
Cereal,863527810,5923,693642.53,524718.57
Clothes,534659373,6445,230988.80,473320.80
Cosmetics,877673566,1967,517970.11,342002.29
Cosmetics,455119216,8745,2302820.85,1520493.15
Beverages,149857652,5064,160984.56,79302.24
Cereal,915062701,6243,731117.73,553067.37
Snacks,624220693,9629,938249.76,530943.06
Meat,821130454,9604,3502482.76,549348.80
Vegetables,869903314,2577,234326.61,162686.01
Vegetables,204963099,1991,181041.63,125691.83
Personal Care,581046140,3320,188144.40,83199.20
Baby Food,223201262,9068,1445620.56,869258.48
Office Supplies,576789796,3773,1980674.08,476341.25
Snacks,457485568,9001,877057.44,496315.14
Household,101274907,8350,4196209.00,1383845.50
Clothes,714456641,2452,87879.68,180074.88
Personal Care,423642098,3966,224753.22,99387.96
Household,125755107,2586,1299568.44,428577.78
Vegetables,338031995,34,3091.62,2146.42
Cereal,748021590,5066,593279.26,448796.94
Beverages,663585221,8468,269197.72,132608.88
Cosmetics,362896716,8058,2121913.14,1401044.46
Snacks,644442403,3683,358871.52,203080.62
Cereal,577021110,2224,260452.64,197024.16
Personal Care,649744164,2592,146888.64,64955.52
Meat,522035396,729,265859.01,41698.80
Vegetables,373631131,4609,419096.37,290966.17
Baby Food,454580199,9238,1472721.96,885554.68
Baby Food,635243928,1650,263043.00,158169.00
Beverages,856296145,5913,187974.27,92597.58
Cereal,678723180,8126,951635.86,719882.34
Cosmetics,633823859,1420,373928.60,246895.40
Cosmetics,873209512,954,251216.82,165871.98
Personal Care,718803966,8922,505609.74,223585.32
Vegetables,912843549,9546,868017.78,602638.98
Household,467877089,4083,2051870.82,676675.59
Office Supplies,716765916,5817,3053692.32,734396.25
Clothes,362683856,5067,181601.28,372120.48
Fruits,429117238,4182,28939.44,10078.62
Clothes,209864890,2539,90997.76,186464.16
Baby Food,419038140,1553,247579.26,148870.58
Personal Care,941060817,9663,547602.21,242154.78
Baby Food,380669248,7345,1170939.90,704091.70
Clothes,112912261,2102,75335.68,154370.88
Cereal,233151185,3472,406605.92,307584.48
Office Supplies,907059848,8021,4210704.16,1012651.25
Beverages,120624577,4348,138222.92,68089.68
Clothes,430144202,8083,289694.72,593615.52
Snacks,412230050,6887,671069.28,379749.18
Office Supplies,513805949,5453,2862606.88,688441.25
Cereal,802108228,504,59023.44,44649.36
Baby Food,514685714,5795,923838.90,555508.70
Personal Care,309399735,7112,403037.04,178226.72
Clothes,914424121,7273,260664.32,534129.12
Beverages,878245198,1126,35795.54,17633.16
Household,619661796,550,276397.00,91151.50
Meat,177785241,9458,3449238.02,540997.60
Household,562039363,8792,4418331.68,1457098.16
Office Supplies,602160489,1525,800564.00,192531.25
Cosmetics,998197448,7662,2017634.46,1332191.94
Clothes,270511567,9239,331125.76,678512.16
Office Supplies,609776675,5324,2794887.04,672155.00
Baby Food,226979100,7015,1118331.30,672457.90
Meat,103417670,2442,890572.98,139682.40
Personal Care,840703713,1766,100079.22,44255.96
Cosmetics,410761058,2180,574059.40,379036.60
Clothes,905826032,2907,104186.88,213490.08
Baby Food,888447463,202,32202.84,19363.72
Fruits,341486680,2352,16275.84,5668.32
Cosmetics,218117511,4673,1230541.09,812494.51
Beverages,191826283,4515,143531.85,70704.90
Snacks,906411826,6257,609682.08,345010.98
Baby Food,825985467,6310,1005940.20,604876.60
Household,284971034,8117,4079117.18,1345230.41
Clothes,138104856,7151,256291.84,525169.44
Fruits,410435760,5917,40945.64,14259.97
Baby Food,747325074,8952,1427127.84,858138.72
Snacks,864446628,7822,762175.68,431305.08
Office Supplies,997786748,6127,3216429.92,773533.75
Meat,553644263,4496,1639646.24,257171.20
Office Supplies,358630502,5590,2934526.40,705737.50
Beverages,409669291,9102,289352.58,142537.32
Cosmetics,323996961,6755,1778794.15,1174491.85
Household,689162337,7305,3671054.70,1210657.65
Personal Care,813026750,1537,87101.79,38517.22
Cereal,973764026,7269,851272.59,643960.71
Fruits,169860494,4350,30102.00,10483.50
Cosmetics,170114982,9658,2543241.14,1679236.46
Personal Care,563638818,2106,119347.02,52776.36
Household,109855830,7636,3837395.44,1265514.28
Snacks,788502347,4222,411391.68,232801.08
Cereal,149627196,6867,804194.37,608347.53
Snacks,763591706,2609,254220.96,143860.26
Clothes,771069705,5515,197657.60,405021.60
Cosmetics,633047521,1684,443447.72,292797.08
Household,880823981,4245,2133282.30,703523.85
Vegetables,766010415,8359,760083.87,527703.67
Personal Care,510530650,6219,352430.73,155848.14
Office Supplies,856621015,2049,1075643.04,258686.25
Cereal,816830337,7103,831832.33,629254.77
Office Supplies,824019944,4668,2450513.28,589335.00
Office Supplies,481363666,5060,2656297.60,638825.00
Beverages,812347829,630,20027.70,9865.80
Household,210771262,755,379417.70,125126.15
Vegetables,290745294,6848,622688.64,432314.24
Meat,936693751,7351,2680836.19,420477.20
Clothes,753352963,2738,98129.92,201078.72
Personal Care,215771758,513,29071.71,12855.78
Cosmetics,319311463,213,56089.29,37034.31
Cereal,329645907,8404,984192.44,744510.36
Fruits,932761418,3687,25514.04,8885.67
Baby Food,184956824,1689,269260.38,161907.54
Vegetables,262843453,74,6728.82,4671.62
Fruits,713345134,3532,24441.44,8512.12
Meat,703698194,8788,3204895.72,502673.60
Cosmetics,371451461,9597,2527178.01,1668630.39
Snacks,374466264,1744,169935.36,96164.16
Fruits,540916430,8047,55685.24,19393.27
Beverages,319288289,3355,106655.45,52539.30
Office Supplies,128380668,9547,5011793.12,1205308.75
Cereal,907304894,535,62653.85,47395.65
Office Supplies,965484797,7262,3812259.52,916827.50
Meat,932656705,2700,984663.00,154440.00
Clothes,608869445,6854,245647.36,503357.76
Cosmetics,314484345,1761,463724.13,306185.07
Snacks,440175235,6488,632190.72,357748.32
Household,996928441,2135,1072922.90,353833.55
Personal Care,266042792,6829,386999.43,171134.74
Vegetables,649129617,734,66742.62,46337.42
Clothes,118112742,1040,37273.60,76377.60
Office Supplies,765228497,6972,3660021.12,880215.00
Baby Food,253025710,4785,762824.70,458690.10
Snacks,364365708,2765,269421.60,152462.10
Meat,252422320,6229,2271654.01,356298.80
Cosmetics,490681874,2525,664908.25,439021.75
Vegetables,822943198,6035,548762.55,380989.55
Beverages,613317620,3168,100710.72,49610.88
Cosmetics,196228969,7367,1939952.11,1280900.29
Cereal,426413571,4106,480853.66,363750.54
Household,428920257,5890,2959960.60,976149.70
Household,749110352,7255,3645927.70,1202371.15
Cereal,202657687,9768,1143930.48,865347.12
Vegetables,825548589,7028,639056.04,443677.64
Vegetables,224081885,9664,878747.52,610088.32
Meat,124868905,339,123629.91,19390.80
Vegetables,524833476,8743,795000.99,551945.59
Cosmetics,141211926,6602,1738504.66,1147889.74
Meat,461553084,2669,973357.61,152666.80
Office Supplies,793718278,7731,4058465.76,976038.75
Cosmetics,515881335,9606,2529547.98,1670195.22
Snacks,426528584,8141,793259.04,448894.74
Office Supplies,494458854,218,114441.28,27522.50
Snacks,308783471,4746,462450.24,261694.44
Beverages,428926265,7668,243765.72,120080.88
Meat,134623563,6959,2537877.71,398054.80
Fruits,575924193,7622,52744.24,18369.02
Snacks,723189485,6694,652263.36,369107.16
Clothes,517093265,8243,295429.12,605365.92
Office Supplies,418621861,8366,4391815.36,1056207.50
Vegetables,959074103,195,17731.35,12310.35
Household,490061318,8889,4467078.06,1473173.97
Snacks,133507335,6642,647196.48,366239.88
Clothes,631648480,7677,275143.68,563798.88
Clothes,997033584,3249,116444.16,238606.56
Personal Care,762523972,6643,376458.81,166473.58
Vegetables,431293475,8178,743625.54,516277.14
Clothes,126828420,203,7275.52,14908.32
Clothes,942927634,2096,75120.64,153930.24
Clothes,893702447,5269,188840.96,386955.36
Household,763576686,8165,4103239.10,1353185.45
Clothes,957286679,1256,45015.04,92240.64
Personal Care,149881255,2049,116116.83,51347.94
Meat,236721742,79,28810.51,4518.80
Snacks,483481967,1913,186402.72,105482.82
Clothes,676148259,6150,220416.00,451656.00
Meat,671019446,8421,3071054.49,481681.20
Beverages,844706857,6385,202979.15,99989.10
Fruits,744134318,4736,32773.12,11413.76
Cosmetics,436538159,197,51876.01,34252.39
Personal Care,959467208,6523,369658.41,163466.38
Vegetables,270782792,9500,863835.00,599735.00
Baby Food,898658740,1946,310231.32,186543.56
Cereal,491581380,8709,1019910.99,771530.31
Fruits,368349540,1669,11549.48,4022.29
Snacks,568074548,4737,461573.28,261198.18
Fruits,300180232,8856,61283.52,21342.96
Clothes,194402921,6999,250844.16,514006.56
Personal Care,950791442,9171,519720.57,229825.26
